turn_id,incoming_edge,outgoing_edge,junction
0,-E1,-E13,J1
1,E13,E1,J1
2,-E19,-E18,J10
3,-E19,-E26,J10
4,-E19,E28,J10
5,-E19,E37,J10
6,-E28,-E18,J10
7,-E28,-E26,J10
8,-E28,E19,J10
9,-E28,E37,J10
10,-E37,-E18,J10
11,-E37,-E26,J10
12,-E37,E19,J10
13,-E37,E28,J10
14,E18,-E26,J10
15,E18,E19,J10
16,E18,E28,J10
17,E18,E37,J10
18,E26,-E18,J10
19,E26,E19,J10
20,E26,E28,J10
21,E26,E37,J10
22,-E18,-E17,J11
23,-E18,-E27,J11
24,-E18,E31,J11
25,-E31,-E17,J11
26,-E31,-E27,J11
27,-E31,E18,J11
28,E17,-E27,J11
29,E17,E18,J11
30,E17,E31,J11
31,E27,-E17,J11
32,E27,E18,J11
33,E27,E31,J11
34,-E17,-E2,J12
35,-E17,E3,J12
36,-E3,-E2,J12
37,-E3,E17,J12
38,E2,E17,J12
39,E2,E3,J12
40,-E4,-E3,J13
41,E3,E4,J13
42,-E29,-E31,J14
43,-E29,E32,J14
44,-E32,-E31,J14
45,-E32,E29,J14
46,E31,E29,J14
47,E31,E32,J14
48,-E30,-E29,J15
49,-E30,-E37,J15
50,-E30,E34,J15
51,-E34,-E29,J15
52,-E34,-E37,J15
53,-E34,E30,J15
54,E29,-E37,J15
55,E29,E30,J15
56,E29,E34,J15
57,E37,-E29,J15
58,E37,E30,J15
59,E37,E34,J15
60,-E10,-E19,J16
61,-E10,-E9,J16
62,-E10,E20,J16
63,-E20,-E19,J16
64,-E20,-E9,J16
65,-E20,E10,J16
66,E19,-E9,J16
67,E19,E10,J16
68,E19,E20,J16
69,E9,-E19,J16
70,E9,E10,J16
71,E9,E20,J16
72,-E9,-E28,J17
73,-E9,-E8,J17
74,E28,-E8,J17
75,E28,E9,J17
76,E8,-E28,J17
77,E8,E9,J17
78,-E21,-E20,J18
79,-E21,-E24,J18
80,E20,-E24,J18
81,E20,E21,J18
82,E24,-E20,J18
83,E24,E21,J18
84,-E8,-E30,J19
85,-E8,-E7,J19
86,E30,-E7,J19
87,E30,E8,J19
88,E7,-E30,J19
89,E7,E8,J19
90,-E13,-E12,J2
91,E12,E13,J2
92,-E7,-E21,J20
93,-E7,-E38,J20
94,-E7,-E6,J20
95,E21,-E38,J20
96,E21,-E6,J20
97,E21,E7,J20
98,E38,-E21,J20
99,E38,-E6,J20
100,E38,E7,J20
101,E6,-E21,J20
102,E6,-E38,J20
103,E6,E7,J20
104,-E6,-E35,J21
105,-E6,-E5,J21
106,E35,-E5,J21
107,E35,E6,J21
108,E5,-E35,J21
109,E5,E6,J21
110,-E35,-E34,J22
111,-E35,-E36,J22
112,-E35,E38,J22
113,-E38,-E34,J22
114,-E38,-E36,J22
115,-E38,E35,J22
116,E34,-E36,J22
117,E34,E35,J22
118,E34,E38,J22
119,E36,-E34,J22
120,E36,E35,J22
121,E36,E38,J22
122,-E33,-E32,J23
123,-E33,E36,J23
124,-E36,-E32,J23
125,-E36,E33,J23
126,E32,E33,J23
127,E32,E36,J23
128,-E5,-E33,J24
129,-E5,-E4,J24
130,E33,-E4,J24
131,E33,E5,J24
132,E4,-E33,J24
133,E4,E5,J24
134,-E14,-E1,J3
135,-E14,E2,J3
136,-E2,-E1,J3
137,-E2,E14,J3
138,E1,E14,J3
139,E1,E2,J3
140,-E15,-E14,J4
141,-E15,E27,J4
142,-E27,-E14,J4
143,-E27,E15,J4
144,E14,E15,J4
145,E14,E27,J4
146,-E16,-E15,J5
147,-E16,E25,J5
148,-E25,-E15,J5
149,-E25,E16,J5
150,E15,E16,J5
151,E15,E25,J5
152,-E12,-E11,J6
153,-E12,-E16,J6
154,E11,-E16,J6
155,E11,E12,J6
156,E16,-E11,J6
157,E16,E12,J6
158,-E24,-E23,J7
159,E23,E24,J7
160,-E11,-E10,J8
161,-E11,-E22,J8
162,-E11,E23,J8
163,-E23,-E10,J8
164,-E23,-E22,J8
165,-E23,E11,J8
166,E10,-E22,J8
167,E10,E11,J8
168,E10,E23,J8
169,E22,-E10,J8
170,E22,E11,J8
171,E22,E23,J8
172,-E22,-E25,J9
173,-E22,E26,J9
174,-E26,-E25,J9
175,-E26,E22,J9
176,E25,E22,J9
177,E25,E26,J9
